parola,spiegazione
abate,"Un membro di un ordine religioso che vive in un monastero."
acqua,"Una sostanza chimica composta da idrogeno e ossigeno, essenziale per la vita."
albero,"Una pianta perenne con tronco legnoso che produce rami e foglie."
anatra,"Un uccello acquatico con un becco largo e palmato."
angelo,"Un essere spirituale o divino spesso rappresentato come un messaggero di Dio."
arpa,"Uno strumento musicale a corde pizzicate con una forma caratteristica."
arte,"L'espressione creativa di idee e emozioni attraverso forme come pittura, scultura, musica, ecc."
asino,"Un animale mammifero con orecchie lunghe e una reputazione per testardaggine."
astronauta,"Una persona addestrata per viaggiare nello spazio."
babbo,"Un termine informale per ""padre""."
bagno,"Un ambiente o stanza in cui ci si lava o si fa i bisogni."
balcone,"Una piattaforma esterna su un edificio alzata dal suolo."
banana,"Una frutta gialla a forma di mezzaluna con polpa dolce."
barca,"Un mezzo di trasporto che si sposta sull'acqua."
barista,"Una persona che lavora in un bar e prepara bevande."
bevanda,"Qualcosa che viene consumato per dissetarsi."
bicicletta,"Un mezzo di trasporto a due ruote mosso dal pedale."
biglietto,"Un documento che dà diritto a entrare in un luogo o a utilizzare un servizio."
borsa,"Un contenitore di solito realizzato in materiale flessibile o rigido."
braccio,"La parte del corpo umano tra la spalla e il polso."
brodo,"Un liquido ottenuto dalla bollitura di ingredienti come carne e verdure."
buio,"L'assenza di luce."
burro,"Un prodotto lattiero-caseario a base di grassi del latte."
bussola,"Uno strumento che indica i punti cardinali."
busto,"La parte superiore del corpo umano compresa tra la testa e la vita."
butterfly,"Un insetto con ali colorate che si muovono rapidamente."
caffè,"Una bevanda calda ottenuta dall'infusione di chicchi di caffè tostati."
caldo,"Una temperatura elevata o una sensazione di calore."
batteria,"Un dispositivo che immagazzina e fornisce energia elettrica."
amore,"Un sentimento di affetto profondo e legame emotivo tra le persone."
